PROTEIN	TAXON	sequences in db	letters in db	avrg length	hits	alignments	score	e-value	description
						1	289.0	3.011e-31	gi|548442916|ref|XP_005745671.1| PREDICTED: vascular endothelial growth factor A isoform X2 [Pundamilia nyererei] >gi|554806845|ref|XP_005914348.1| PREDICTED: vascular endothelial growth factor A isoform X2 [Haplochromis burtoni] >gi|939283691|ref|XP_014267547.1| vascular endothelial growth factor A isoform X2 [Maylandia zebra] >gi|1468881562|ref|XP_026050292.1| vascular endothelial growth factor A isoform X2 [Astatotilapia calliptera]
						1	288.0	3.32391e-31	gi|584004563|ref|XP_006797283.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X2 [Neolamprologus brichardi]
						1	289.0	6.75541e-31	gi|1367500143|ref|XP_024233898.1| vascular endothelial growth factor A-A-like isoform X4 [Oncorhynchus tshawytscha]
						1	291.0	8.08436e-31	gi|1367500139|ref|XP_024233895.1| vascular endothelial growth factor A-A-like isoform X2 [Oncorhynchus tshawytscha]
						1	288.0	8.77539e-31	gi|542219471|ref|XP_005449666.1| vascular endothelial growth factor A isoform X1 [Oreochromis niloticus]
						1	285.0	1.24024e-30	gi|929247958|ref|XP_014000120.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X2 [Salmo salar]
						1	285.0	1.33782e-30	gi|1343054643|ref|XP_023829862.1| vascular endothelial growth factor A-A isoform X2 [Salvelinus alpinus]
						1	285.0	1.39699e-30	gi|1158895219|ref|XP_020352248.1| vascular endothelial growth factor A-A-like [Oncorhynchus kisutch]
						1	283.0	1.66951e-30	gi|225706986|gb|ACO09339.1| Vascular endothelial growth factor precursor [Osmerus mordax]
						1	288.0	1.74987e-30	gi|1211351799|ref|XP_021456296.1| vascular endothelial growth factor A-A-like isoform X2 [Oncorhynchus mykiss]
						1	288.0	1.9066e-30	gi|1158925322|ref|XP_020310562.1| vascular endothelial growth factor A-A-like isoform X2 [Oncorhynchus kisutch]
						1	286.0	1.99257e-30	gi|1211351805|ref|XP_021456298.1| vascular endothelial growth factor A-A-like isoform X4 [Oncorhynchus mykiss]
						1	279.0	2.47055e-30	gi|961926824|ref|XP_014862833.1| PREDICTED: vascular endothelial growth factor A isoform X5 [Poecilia mexicana]
						1	283.0	2.51344e-30	gi|1052250564|gb|AOC60664.1| VEGFAa [Misgurnus anguillicaudatus]
						1	279.0	2.69518e-30	gi|1039386669|ref|XP_017157806.1| PREDICTED: vascular endothelial growth factor A isoform X3 [Poecilia reticulata]
						1	279.0	2.77218e-30	gi|1174678847|ref|XP_020570070.1| vascular endothelial growth factor A isoform X4 [Oryzias latipes]
						1	284.0	2.91369e-30	gi|929247956|ref|XP_014000119.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X1 [Salmo salar]
						1	282.0	2.97818e-30	gi|1338771572|ref|XP_023682355.1| vascular endothelial growth factor A isoform X2 [Paramormyrops kingsleyae]
						1	282.0	3.02515e-30	gi|1469067197|ref|XP_026140537.1| vascular endothelial growth factor A-A-like isoform X2 [Carassius auratus]
						1	288.0	3.23027e-30	gi|1367500137|ref|XP_024233894.1| vascular endothelial growth factor A-A-like isoform X1 [Oncorhynchus tshawytscha]
						1	284.0	3.33033e-30	gi|1343054641|ref|XP_023829861.1| vascular endothelial growth factor A-A isoform X1 [Salvelinus alpinus]
						1	278.0	3.38682e-30	gi|1316053614|ref|XP_023203321.1| vascular endothelial growth factor A isoform X3 [Xiphophorus maculatus] >gi|1570476169|ref|XP_027895804.1| vascular endothelial growth factor A isoform X4 [Xiphophorus couchianus]
						1	284.0	3.73353e-30	gi|1211395277|ref|XP_021467817.1| vascular endothelial growth factor A-A-like [Oncorhynchus mykiss]
						1	277.0	3.98704e-30	gi|961899969|ref|XP_014902841.1| PREDICTED: vascular endothelial growth factor A isoform X3 [Poecilia latipinna] >gi|1025452702|ref|XP_016531379.1| PREDICTED: vascular endothelial growth factor A isoform X4 [Poecilia formosa]
						1	277.0	5.55037e-30	gi|831296494|ref|XP_012680037.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X2 [Clupea harengus]
						1	277.0	5.75943e-30	gi|1024946336|ref|XP_016362227.1| PREDICTED: vascular endothelial growth factor A-A isoform X2 [Sinocyclocheilus anshuiensis] >gi|1025362264|ref|XP_016403917.1| PREDICTED: vascular endothelial growth factor A-A isoform X2 [Sinocyclocheilus rhinocerous]
						1	285.0	5.87587e-30	gi|929099645|ref|XP_014060854.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X2 [Salmo salar]
						1	280.0	6.01065e-30	gi|1469067195|ref|XP_026140536.1| vascular endothelial growth factor A-A-like isoform X1 [Carassius auratus]
						1	276.0	6.2149e-30	gi|1020517920|ref|XP_016098278.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X1 [Sinocyclocheilus grahami] >gi|1020517922|ref|XP_016098279.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X2 [Sinocyclocheilus grahami]
						1	283.0	7.24435e-30	gi|929099647|ref|XP_014060856.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X3 [Salmo salar]
						1	276.0	7.7407e-30	gi|1101621811|ref|XP_018974634.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X1 [Cyprinus carpio]
						1	275.0	8.81975e-30	gi|1357720630|ref|XP_024146872.1| vascular endothelial growth factor A isoform X4 [Oryzias melastigma]
						1	282.0	1.00022e-29	gi|1211351803|ref|XP_021456297.1| vascular endothelial growth factor A-A-like isoform X3 [Oncorhynchus mykiss]
						1	275.0	1.02462e-29	gi|1101621813|ref|XP_018974635.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X2 [Cyprinus carpio]
						1	278.0	1.06653e-29	gi|18859545|ref|NP_571483.1| vascular endothelial growth factor A-A isoform 1 precursor [Danio rerio] >gi|48428569|sp|O73682.1|VGFAA_DANRE RecName: Full=Vascular endothelial growth factor A-A; Short=VEGF-A-A; Flags: Precursor >gi|3056721|gb|AAC41274.1| vascular endothelial growth factor isoform 165 [Danio rerio] >gi|190338034|gb|AAI62588.1| Vascular endothelial growth factor Aa [Danio rerio] >gi|190339362|gb|AAI62258.1| Vascular endothelial growth factor Aa [Danio rerio]
						1	277.0	1.19671e-29	gi|1515159516|gb|ROL32993.1| Vascular endothelial growth factor A-A, partial [Anabarilius grahami]
						1	274.0	1.34785e-29	gi|765161464|ref|XP_011490129.1| vascular endothelial growth factor A isoform X5 [Oryzias latipes]
						1	278.0	1.77524e-29	gi|688589640|ref|XP_009290293.1| vascular endothelial growth factor A-A isoform X1 [Danio rerio]
						1	277.0	2.00637e-29	gi|1473016959|ref|XP_026196809.1| vascular endothelial growth factor A isoform X2 [Anabas testudineus]
						1	279.0	2.19235e-29	gi|1158925324|ref|XP_020310563.1| vascular endothelial growth factor A-A-like isoform X3 [Oncorhynchus kisutch]
						1	275.0	2.31632e-29	gi|1343054645|ref|XP_023829863.1| vascular endothelial growth factor A isoform X3 [Salvelinus alpinus]
						1	270.0	2.48031e-29	gi|966671957|gb|KTG05338.1| hypothetical protein cypCar_00013154, partial [Cyprinus carpio]
						1	282.0	2.69714e-29	gi|929099643|ref|XP_014060853.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X1 [Salmo salar]
						1	276.0	2.73331e-29	gi|1104690973|gb|APD76531.1| vascular endothelial growth factor Aa [Megalobrama amblycephala]
						1	272.0	2.85227e-29	gi|1249057351|ref|XP_022528905.1| vascular endothelial growth factor A-A-like isoform X2 [Astyanax mexicanus]
						1	281.0	3.55837e-29	gi|1211351797|ref|XP_021456295.1| vascular endothelial growth factor A-A-like isoform X1 [Oncorhynchus mykiss]
						1	272.0	4.53486e-29	gi|1229027146|ref|XP_022078359.1| vascular endothelial growth factor A-A-like [Acanthochromis polyacanthus]
						1	274.0	4.8174e-29	gi|1469973999|ref|XP_026173952.1| vascular endothelial growth factor A isoform X2 [Mastacembelus armatus]
						1	280.0	4.95126e-29	gi|1343010586|ref|XP_023855563.1| vascular endothelial growth factor A-A [Salvelinus alpinus]
						1	280.0	5.25464e-29	gi|1563841455|gb|RXM31339.1| hypothetical protein EOD39_7117 [Acipenser ruthenus]
						1	276.0	5.66911e-29	gi|831300479|ref|XP_012682201.1| PREDICTED: vascular endothelial growth factor A [Clupea harengus]
						1	279.0	6.32611e-29	gi|1158925320|ref|XP_020310561.1| vascular endothelial growth factor A-A-like isoform X1 [Oncorhynchus kisutch]
						1	269.0	7.17106e-29	gi|1025089403|ref|XP_016342317.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X2 [Sinocyclocheilus anshuiensis] >gi|1025332895|ref|XP_016389977.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X5 [Sinocyclocheilus rhinocerous]
						1	269.0	7.61905e-29	gi|1049271719|ref|XP_017576135.1| PREDICTED: vascular endothelial growth factor A isoform X2 [Pygocentrus nattereri]
						1	273.0	7.78483e-29	gi|1395248522|gb|AWP19886.1| putative vascular endothelial growth factor A-A-like isoform 2 [Scophthalmus maximus]
						1	269.0	9.51218e-29	gi|1469155727|ref|XP_026084189.1| vascular endothelial growth factor A-A isoform X2 [Carassius auratus]
						1	272.0	9.55951e-29	gi|765161461|ref|XP_011490128.1| vascular endothelial growth factor A isoform X2 [Oryzias latipes]
						1	272.0	1.00903e-28	gi|1357720626|ref|XP_024146870.1| vascular endothelial growth factor A isoform X2 [Oryzias melastigma]
						1	273.0	1.37755e-28	gi|1473016957|ref|XP_026196808.1| vascular endothelial growth factor A isoform X1 [Anabas testudineus]
						1	266.0	1.46769e-28	gi|77455509|gb|ABA86562.1| vascular endothelial growth factor 130, partial [Anguilla japonica]
						1	267.0	1.51062e-28	gi|1511155492|ref|XP_026868353.1| vascular endothelial growth factor A-A isoform X3 [Electrophorus electricus]
						1	271.0	1.58864e-28	gi|1188072927|ref|XP_020773707.1| vascular endothelial growth factor A isoform X2 [Boleophthalmus pectinirostris]
						1	271.0	1.59708e-28	gi|831296491|ref|XP_012680036.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X1 [Clupea harengus]
						1	269.0	1.67738e-28	gi|966640262|gb|KTF75176.1| hypothetical protein cypCar_00036028 [Cyprinus carpio]
						1	270.0	1.69202e-28	gi|1025332889|ref|XP_016389976.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X4 [Sinocyclocheilus rhinocerous]
						1	270.0	1.729e-28	gi|1020530738|ref|XP_016105095.1| PREDICTED: vascular endothelial growth factor A isoform X3 [Sinocyclocheilus grahami]
						1	268.0	1.7901e-28	gi|1083338511|ref|XP_018619632.1| PREDICTED: placenta growth factor [Scleropages formosus]
						1	270.0	1.95547e-28	gi|1317146358|ref|XP_023285803.1| vascular endothelial growth factor A isoform X3 [Seriola lalandi dorsalis]
						1	266.0	1.9913e-28	gi|1101657464|ref|XP_018953195.1| PREDICTED: vascular endothelial growth factor A isoform X2 [Cyprinus carpio]
						1	270.0	2.16098e-28	gi|768940745|ref|XP_011610291.1| PREDICTED: vascular endothelial growth factor A isoform X1 [Takifugu rubripes]
						1	269.0	2.51784e-28	gi|573874817|ref|XP_006625764.1| PREDICTED: vascular endothelial growth factor A isoform X2 [Lepisosteus oculatus]
						1	269.0	2.57284e-28	gi|1357720628|ref|XP_024146871.1| vascular endothelial growth factor A isoform X3 [Oryzias melastigma]
						1	269.0	2.62905e-28	gi|1168903426|ref|XP_020494522.1| vascular endothelial growth factor A isoform X2 [Labrus bergylta]
						1	269.0	3.12521e-28	gi|1343941452|ref|XP_023808487.1| vascular endothelial growth factor A isoform X3 [Oryzias latipes]
						1	269.0	3.19348e-28	gi|657570742|ref|XP_008288911.1| PREDICTED: vascular endothelial growth factor A isoform X2 [Stegastes partitus]
						1	268.0	3.24986e-28	gi|1188072929|ref|XP_020773783.1| vascular endothelial growth factor A isoform X3 [Boleophthalmus pectinirostris]
						1	270.0	3.29515e-28	gi|1469973996|ref|XP_026173951.1| vascular endothelial growth factor A isoform X1 [Mastacembelus armatus]
						1	269.0	3.29869e-28	gi|1250105053|ref|XP_022623619.1| vascular endothelial growth factor A isoform X2 [Seriola dumerili] >gi|1317146356|ref|XP_023285802.1| vascular endothelial growth factor A isoform X2 [Seriola lalandi dorsalis]
						1	265.0	3.4699e-28	gi|929089973|ref|XP_014055707.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X3 [Salmo salar]
						1	268.0	3.49592e-28	gi|929089970|ref|XP_014055706.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X2 [Salmo salar]
						1	268.0	3.5433e-28	gi|1024946334|ref|XP_016362226.1| PREDICTED: vascular endothelial growth factor A-A isoform X1 [Sinocyclocheilus anshuiensis] >gi|1025362260|ref|XP_016403916.1| PREDICTED: vascular endothelial growth factor A-A isoform X1 [Sinocyclocheilus rhinocerous]
						1	264.0	3.75102e-28	gi|974094378|ref|XP_015245598.1| PREDICTED: vascular endothelial growth factor A isoform X4 [Cyprinodon variegatus]
						1	269.0	4.28919e-28	gi|1308513461|ref|XP_023148039.1| vascular endothelial growth factor A-A-like isoform X2 [Amphiprion ocellaris]
						1	269.0	4.40655e-28	gi|1168903424|ref|XP_020494521.1| vascular endothelial growth factor A isoform X1 [Labrus bergylta]
						1	268.0	4.54295e-28	gi|1025089391|ref|XP_016342316.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X1 [Sinocyclocheilus anshuiensis] >gi|1025332875|ref|XP_016389973.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X1 [Sinocyclocheilus rhinocerous] >gi|1025332879|ref|XP_016389974.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X2 [Sinocyclocheilus rhinocerous] >gi|1025332883|ref|XP_016389975.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X3 [Sinocyclocheilus rhinocerous]
						1	263.0	5.11363e-28	gi|1395248523|gb|AWP19887.1| putative vascular endothelial growth factor A-A-like isoform 3 [Scophthalmus maximus]
						1	268.0	5.79109e-28	gi|1020530734|ref|XP_016105092.1| PREDICTED: vascular endothelial growth factor A isoform X1 [Sinocyclocheilus grahami] >gi|1020530736|ref|XP_016105094.1| PREDICTED: vascular endothelial growth factor A isoform X2 [Sinocyclocheilus grahami]
						1	269.0	5.8295e-28	gi|1250105051|ref|XP_022623609.1| vascular endothelial growth factor A isoform X1 [Seriola dumerili] >gi|1317146354|ref|XP_023285801.1| vascular endothelial growth factor A isoform X1 [Seriola lalandi dorsalis]
						1	269.0	6.16775e-28	gi|1079764059|ref|XP_018551630.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X2 [Lates calcarifer]
						1	263.0	6.44362e-28	gi|1211298160|ref|XP_021419113.1| vascular endothelial growth factor A-A-like isoform X3 [Oncorhynchus mykiss]
						1	274.0	6.7041e-28	gi|1387735775|gb|PWA27587.1| hypothetical protein CCH79_00000069 [Gambusia affinis]
						1	263.0	6.87738e-28	gi|1158898615|ref|XP_020353996.1| vascular endothelial growth factor A-A-like isoform X3 [Oncorhynchus kisutch] >gi|1342974758|ref|XP_023845170.1| vascular endothelial growth factor A-A isoform X2 [Salvelinus alpinus] >gi|1367515374|ref|XP_024241980.1| vascular endothelial growth factor A-A isoform X3 [Oncorhynchus tshawytscha]
						1	268.0	6.94365e-28	gi|573874820|ref|XP_006625765.1| PREDICTED: vascular endothelial growth factor A isoform X1 [Lepisosteus oculatus]
						1	267.0	7.76397e-28	gi|1386856730|ref|XP_024866296.1| vascular endothelial growth factor A isoform X3 [Kryptolebias marmoratus]
						1	263.0	8.09384e-28	gi|1343066798|ref|XP_023836196.1| vascular endothelial growth factor A-A isoform X2 [Salvelinus alpinus]
						1	266.0	8.85046e-28	gi|1169052876|ref|XP_020479311.1| vascular endothelial growth factor A-A-like isoform X1 [Monopterus albus]
						1	265.0	8.99697e-28	gi|1169052880|ref|XP_020479313.1| vascular endothelial growth factor A-like isoform X3 [Monopterus albus]
						1	265.0	1.04375e-27	gi|1101657462|ref|XP_018953189.1| PREDICTED: vascular endothelial growth factor A isoform X1 [Cyprinus carpio]
						1	265.0	1.05799e-27	gi|1129957343|ref|XP_019738299.1| PREDICTED: vascular endothelial growth factor A isoform X3 [Hippocampus comes]
						1	265.0	1.07812e-27	gi|1469155725|ref|XP_026084188.1| vascular endothelial growth factor A-A isoform X1 [Carassius auratus]
						1	269.0	1.09159e-27	gi|1079764057|ref|XP_018551629.1| PREDICTED: vascular endothelial growth factor A-A-like isoform X1 [Lates calcarifer]
						1	265.0	1.13795e-27	gi|734619565|ref|XP_010737590.1| vascular endothelial growth factor A-A isoform X2 [Larimichthys crocea]
						1	261.0	1.21547e-27	gi|1338745754|ref|XP_023668847.1| vascular endothelial growth factor A-A-like isoform X2 [Paramormyrops kingsleyae]
						1	265.0	1.24552e-27	gi|1169052878|ref|XP_020479312.1| vascular endothelial growth factor A-A-like isoform X2 [Monopterus albus]
						1	266.0	1.42396e-27	gi|1041133915|ref|XP_017291492.1| vascular endothelial growth factor A isoform X2 [Kryptolebias marmoratus]
						1	267.0	1.45502e-27	gi|1386856727|ref|XP_024866295.1| vascular endothelial growth factor A isoform X1 [Kryptolebias marmoratus]
						1	266.0	1.55193e-27	gi|1357720624|ref|XP_024146869.1| vascular endothelial growth factor A isoform X1 [Oryzias melastigma]
						1	266.0	1.58568e-27	gi|1549124284|gb|RVE56052.1| hypothetical protein OJAV_G00232240 [Oryzias javanicus]
						1	261.0	1.65705e-27	gi|1158857130|ref|XP_020308501.1| vascular endothelial growth factor A-A isoform X2 [Oncorhynchus kisutch] >gi|1211335124|ref|XP_021437118.1| vascular endothelial growth factor precursor isoform X2 [Oncorhynchus mykiss] >gi|1367431788|ref|XP_024257847.1| vascular endothelial growth factor A-A-like isoform X2 [Oncorhynchus tshawytscha] >gi|49292179|emb|CAG30563.1| vascular endothelial growth factor precursor [Oncorhynchus mykiss]
						1	265.0	1.80417e-27	gi|1343941449|ref|XP_023808486.1| vascular endothelial growth factor A isoform X1 [Oryzias latipes]
						1	264.0	1.88359e-27	gi|1564318511|gb|RXN15712.1| vascular endothelial growth factor A-A-like isoform X1 [Labeo rohita]
						1	265.0	1.89437e-27	gi|657570740|ref|XP_008288910.1| PREDICTED: vascular endothelial growth factor A isoform X1 [Stegastes partitus]
						1	259.0	2.05735e-27	gi|1129957347|ref|XP_019738301.1| PREDICTED: vascular endothelial growth factor A isoform X5 [Hippocampus comes]
						1	263.0	2.45912e-27	gi|1007724581|ref|XP_015803543.1| PREDICTED: vascular endothelial growth factor A isoform X4 [Nothobranchius furzeri]
						1	264.0	2.53946e-27	gi|1007724579|ref|XP_015803542.1| PREDICTED: vascular endothelial growth factor A isoform X3 [Nothobranchius furzeri]
						1	264.0	2.67955e-27	gi|1188072925|ref|XP_020773636.1| vascular endothelial growth factor A isoform X1 [Boleophthalmus pectinirostris]
						1	262.0	2.82963e-27	gi|658912444|ref|XP_008396254.1| PREDICTED: vascular endothelial growth factor A isoform X2 [Poecilia reticulata]
						1	264.0	2.88476e-27	gi|1129957339|ref|XP_019738297.1| PREDICTED: vascular endothelial growth factor A isoform X1 [Hippocampus comes]
						1	265.0	3.07615e-27	gi|1308513458|ref|XP_023148038.1| vascular endothelial growth factor A-A-like isoform X1 [Amphiprion ocellaris]
						1	258.0	3.53948e-27	gi|1083299637|ref|XP_018598979.1| PREDICTED: vascular endothelial growth factor A isoform X3 [Scleropages formosus]
						1	259.0	3.56784e-27	gi|146760598|gb|ABQ44487.1| vascular endothelial growth factor A, partial [Oryzias latipes]
						1	258.0	3.60484e-27	gi|1035246491|ref|XP_016893675.1| vascular endothelial growth factor A-A-like isoform X2 [Cynoglossus semilaevis]
						1	262.0	3.62709e-27	gi|961926822|ref|XP_014862832.1| PREDICTED: vascular endothelial growth factor A isoform X4 [Poecilia mexicana]
						1	263.0	3.6334e-27	gi|961926816|ref|XP_014862831.1| PREDICTED: vascular endothelial growth factor A isoform X3 [Poecilia mexicana]
						1	263.0	3.82126e-27	gi|734619563|ref|XP_010737589.1| vascular endothelial growth factor A-A isoform X1 [Larimichthys crocea]
